Date,Description,Amount
03/20/2025,X CORP. PAID FEATUREBASTROP             TX,8.71
03/19/2025,AplPay AIMCHESS BY CDUBLIN              CO,7.99
03/19/2025,UBER,85.42
03/16/2025,Interest Charge on Pay Over Time Purchases,238.15
03/16/2025,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,21.78
03/15/2025,AplPay EXPERIAN* CRE479-343-6237        CA,27.21
03/15/2025,AplPay MOUNT NORQUAYBANFF,4.63
03/14/2025,AplPay BANFF SUNSHINBANFF,5.82
03/14/2025,AplPay BANFF SUNSHINBANFF,13.79
03/13/2025,AplPay FRITOU CARRINCALGARY,6.91
03/13/2025,AplPay KUNG FU TEA CCALGARY,3.61
03/13/2025,UBER,38.32
03/13/2025,WIFIONBOARD         CHICAGO             IL,9.95
03/12/2025,AplPay DEALCO.NET   HOUSTON             TX,6.41
03/12/2025,AplPay HOUSTONIAN CEHOUSTON             TX,6.50
03/12/2025,AplPay LEGENDS DURHAHOUSTON             TX,23.82
03/12/2025,Audible             audible.com         NJ,14.95
03/11/2025,AplPay CTLP*VenuplusORLANDO             FL,4.00
03/10/2025,AplPay THREE BROTHERHOUSTON             TX,18.15
03/09/2025,UBER,53.60
03/08/2025,UBER EATS           help.uber.com       CA,33.83
03/07/2025,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,3.03
03/07/2025,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,4.98
03/07/2025,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,11.60
03/06/2025,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,5.17
03/06/2025,AplPay TST* KICK BUTAUSTIN              TX,4.74
03/06/2025,LOOM SUBSCRIPTION   SAN FRANCISCO       CA,20.00
03/06/2025,UBER,5.00
03/06/2025,UBER,15.51
03/06/2025,UBER,20.76
03/05/2025,AplPay TST* VELVET TAUSTIN              TX,14.79
03/04/2025,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,2.84
03/04/2025,MAX                 NEW YORK            NY,9.99
03/04/2025,UBER,10.00
03/04/2025,UBER,13.33
03/04/2025,UBER,17.40
03/04/2025,UBER,19.27
03/03/2025,UBER,45.61
03/03/2025,UBER,120.05
03/02/2025,UBER EATS           help.uber.com       CA,8.38
03/02/2025,UBER,5.00
03/02/2025,UBER,5.00
03/02/2025,UBER,17.42
03/02/2025,UBER,18.55
03/01/2025,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,2.73
03/01/2025,DIGITALOCEAN.COM    NEW YORK CITY       NY,28.00
03/01/2025,UBER EATS           help.uber.com       CA,15.70
03/01/2025,UBER,3.00
03/01/2025,UBER,14.34
03/01/2025,UBER,18.80
03/01/2025,UBER,24.64
02/28/2025,AUTOPAY PAYMENT - THANK YOU,-262.60
02/28/2025,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,3.49
02/28/2025,AplPay SSA  NATIONALDENVER              CO,5.39
02/28/2025,OPENASSISTANTGPT    SAINTE-CATHERINE-DE-,9.00
02/28/2025,SQSP* INV171649452  NEW YORK            NY,7.84
02/28/2025,UBER,3.00
02/28/2025,UBER,13.28
02/27/2025,AplPay TST* LAZO EMPDENVER              CO,26.21
02/27/2025,UBER,3.00
02/27/2025,UBER,3.00
02/27/2025,UBER,6.00
02/27/2025,UBER,15.62
02/27/2025,UBER,20.80
02/27/2025,UBER,21.05
02/27/2025,UBER,24.16
02/26/2025,SQSP* INV171256925  NEW YORK            NY,25.00
02/26/2025,UBER,14.17
02/26/2025,UBER,19.35
02/26/2025,UBER,31.72
02/26/2025,WORDPRESS GK0LK0DHY7SAN FRANCISCO       CA,40.00
02/25/2025,AplPay LIME*PASS LRYSAN FRANCISCO       CA,15.27
02/25/2025,NETFLIX.COM         866-579-7172        CA,19.59
02/25/2025,UBER,3.00
02/25/2025,UBER,16.27
02/25/2025,UBER,21.79
02/20/2025,ANTHROPIC           SAN FRANCISCO       CA,5.02
02/20/2025,X CORP. PAID FEATUREBASTROP             TX,8.71
02/19/2025,EQT*GUARDIAN DENTAL NEW YORK            NY,-24.36
02/16/2025,AplPay TST* BRASS NYNEW YORK            NY,43.09
02/16/2025,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,21.78
02/16/2025,UBER,162.34
02/15/2025,AplPay EXPERIAN* CRE479-343-6237        CA,27.21
02/15/2025,SP BLUEPRINT.BRYANJOLOS ANGELES         CA,4.99
02/15/2025,UBER,39.47
02/15/2025,UBER,45.72
02/14/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90
02/14/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90
02/14/2025,UBER EATS           help.uber.com       CA,74.20
02/14/2025,UBER TRIP           HTTPS://HELP.UBER.COGB,2.51
02/13/2025,AplPay HUDSONNEWS  SJAMAICA             NY,4.28
02/13/2025,Interest Charge on Pay Over Time Purchases,140.91
02/13/2025,MEM RWDS AIRLINE TAX OFFSET FEE,10.80
02/12/2025,Audible             audible.com         NJ,14.95
02/12/2025,SP BOMBAS           NEW YORK            NY,83.60
02/11/2025,AplPay ZETTLE *ATHENHACKNEY             GB,7.95
02/11/2025,SP COLAREB S.R.L.   ROMA                IT,-16.55
02/11/2025,UBER EATS           HTTPS://HELP.UBER.COGB,59.76
02/11/2025,UBER TRIP           HTTPS://HELP.UBER.COGB,24.23
02/08/2025,AplPay 3CPAYMENT*STALONDON              GB,4.00
02/08/2025,AplPay PEAKSTAR TECHLEWES               DE,8.09
02/08/2025,AplPay TFL TRAVEL CHTFL.GOV.UK/CP       GB,2.19
02/08/2025,AplPay TWG TEA LEICELONDON              GB,29.98
02/08/2025,SP COLAREB S.R.L.   ROMA                IT,64.55
02/08/2025,SP COLAREB S.R.L.   ROMA                IT,64.55
02/07/2025,MOBILE PAYMENT - THANK YOU,-7000.00
02/06/2025,"AplPay RALPH LAUREN WATFORD,HERTFORDSHIRGB",204.58
02/06/2025,LOOM SUBSCRIPTION   SAN FRANCISCO       CA,20.00
02/06/2025,SP COLAREB S.R.L.   ROMA                IT,112.81
02/05/2025,TASKER ON TASKRABBITSAN FRANCISCO       CA,251.24
02/05/2025,UBER TRIP           HTTPS://HELP.UBER.COGB,6.28
02/04/2025,MAX                 NEW YORK            NY,9.99
02/04/2025,MOBILE PAYMENT - THANK YOU,-2000.00
02/04/2025,UBER TRIP           HTTPS://HELP.UBER.COCA,5.17
02/04/2025,UBER TRIP           HTTPS://HELP.UBER.COGB,23.17
02/03/2025,AplPay ZETTLE *ATHENHACKNEY             GB,7.96
02/03/2025,UBER EATS           HTTPS://HELP.UBER.COGB,63.62
02/02/2025,ETT*AMLIDOWNTOWNRENTCHICAGO             IL,2864.71
02/02/2025,UBER TRIP           HTTPS://HELP.UBER.COCA,18.74
02/01/2025,DIGITALOCEAN.COM    NEW YORK CITY       NY,25.56
02/01/2025,UBER TRIP           HTTPS://HELP.UBER.COCA,2.08
02/01/2025,UBER TRIP           HTTPS://HELP.UBER.COCA,25.31
01/31/2025,AUTOPAY PAYMENT - THANK YOU,-221.33
01/31/2025,AplPay NORDVPN      LONDON              GB,8.09
01/31/2025,OPENASSISTANTGPT    SAINTE-CATHERINE-DE-,9.00
01/31/2025,UBER TRIP           HTTPS://HELP.UBER.COCA,33.61
01/31/2025,UBER TRIP           HTTPS://HELP.UBER.COGB,6.24
01/29/2025,AMAZON MARKEPLACE NA PA,68.84
01/28/2025,AplPay PEAKSTAR TECHLEWES               DE,3.99
01/28/2025,AplPay PEAKSTAR TECHLEWES               DE,3.99
01/28/2025,SQSP* INV167331661  NEW YORK            NY,7.84
01/28/2025,UBER EATS           HTTPS://HELP.UBER.COGB,64.94
01/28/2025,UBER TRIP           HTTPS://HELP.UBER.COGB,6.26
01/28/2025,UBER TRIP           HTTPS://HELP.UBER.COGB,27.36
01/27/2025,WORDPRESS DW0MMRH25VSAN FRANCISCO       CA,53.00
01/26/2025,SQSP* INV166997238  NEW YORK            NY,25.00
01/26/2025,WORDPRESS 5U6GVM71W5SAN FRANCISCO       CA,40.00
01/25/2025,ANTHROPIC           SAN FRANCISCO       CA,5.04
01/25/2025,NETFLIX.COM         866-579-7172        CA,16.86
01/23/2025,AplPay FABRIQUE COVECovent Garden       GB,12.32
01/23/2025,AplPay TAXIWORLD*LONGLASGOW             GB,24.76
01/23/2025,AplPay ZETTLE *ATHENHACKNEY             GB,12.13
01/22/2025,MEM RWDS AIRLINE TAX OFFSET FEE,25.80
01/21/2025,DELTA AIR LINES     ATLANTA,401.70
01/21/2025,UBER TRIP           HTTPS://HELP.UBER.COGB,24.36
01/20/2025,AplPay NAS.IO       SINGAPORE           SG,270.18
01/20/2025,X CORP. PAID FEATURESAN FRANCISCO       CA,8.71
01/16/2025,AplPay NORDVPN      LONDON              GB,4.49
01/16/2025,AplPay UNITED AIRLINHOUSTON             TX,2694.51
01/16/2025,CKO*PATREON* MEMBERSDUBLIN              CO,10.00
01/16/2025,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,21.78
01/16/2025,UBER EATS           HTTPS://HELP.UBER.COGB,45.27
01/15/2025,AplPay SHOREDITCH FOhackney             GB,15.91
01/14/2025,AplPay CITYSUN LIMITLONDON              GB,8.52
01/13/2025,AplPay PEAKSTAR TECHLEWES               DE,8.99
01/13/2025,UBER,124.03
01/12/2025,AMZN DIGITAL*Z547I77888-802-3080        WA,14.95
01/12/2025,AplPay PATIS BAKERY Lyndhurst           NJ,4.50
01/12/2025,AplPay SHOPRITE LYNDLYNDHURST           NJ,42.07
01/12/2025,UBER EATS           HTTPS://HELP.UBER.COCA,12.68
01/12/2025,UBER MRBRUNOSPIZ    HTTPS://HELP.UBER.COCA,4.69
01/11/2025,AplPay CLOUD SMOKE SLYNDHURST           NJ,18.19
01/11/2025,AplPay ERIE COFFEESHRutherford          NJ,36.32
01/11/2025,AplPay GOFNDME* SUPPSAN DIEGO           CA,102.00
01/09/2025,AplPay STARBUCKS STOLYNDHURST           NJ,3.15
01/08/2025,AplPay STARBUCKS STOLYNDHURST           NJ,4.15
01/06/2025,AplPay SHOPRITE LYNDLYNDHURST           NJ,7.58
01/06/2025,BAKER HEALTH 00-0803EDGEWATER           NJ,25.00
01/06/2025,LOOM SUBSCRIPTION   SAN FRANCISCO       CA,20.00
01/05/2025,AplPay MUSE COFFEE CLyndhurst           NJ,11.73
01/04/2025,AplPay TST* STEVENS RUTHERFORD          NJ,8.68
01/04/2025,MAX                 NEW YORK            NY,9.99
01/04/2025,MOBILE PAYMENT - THANK YOU,-5426.73
01/04/2025,UBER,20.00
01/04/2025,UBER,53.21
01/03/2025,AplPay AUSTIN- HOUNDAustin              TX,13.02
01/03/2025,AplPay C1 CIBO EXPRENEWARK              NJ,10.03
01/03/2025,DELETEME            BOSTON              MA,129.00
01/03/2025,UBER,56.64
01/02/2025,AplPay AUSTIN MAC WOAUSTIN              TX,74.69
01/02/2025,ETT*AMLIDOWNTOWNRENTCHICAGO             IL,2804.69
01/01/2025,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,2.25
01/01/2025,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,2.84
01/01/2025,AplPay SMOKE PARADISAUSTIN              TX,21.65
12/31/2024,AplPay AUSTIN- HOUNDAustin              TX,10.25
12/31/2024,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,2.25
12/31/2024,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,2.84
12/31/2024,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,5.17
12/31/2024,OPENASSISTANTGPT    SAINTE-CATHERINE-DE-,9.00
12/30/2024,AplPay AUSTIN- HOUNDAustin              TX,15.99
12/30/2024,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,2.25
12/30/2024,ONLINE PAYMENT - THANK YOU,-8000.00
12/30/2024,SP PURPLE           ALPINE              UT,-111.71
12/30/2024,SP PURPLE           ALPINE              UT,129.03
12/30/2024,UBER EATS           help.uber.com       CA,25.94
12/29/2024,AplPay LIME*RIDE LRYSAN FRANCISCO       CA,2.97
12/29/2024,TASKER ON TASKRABBITSAN FRANCISCO       CA,92.74
12/28/2024,AplPay ROYAL BLUE GRAUSTIN              TX,14.58
12/28/2024,SQSP* INV163166938  NEW YORK            NY,7.84
12/28/2024,TASKER ON TASKRABBITSAN FRANCISCO       CA,86.38
12/28/2024,UBER,15.54
12/28/2024,UBER,66.07
12/26/2024,AplPay STARBUCKS STOLYNDHURST           NJ,4.15
12/26/2024,SQSP* INV162851540  NEW YORK            NY,25.00
12/26/2024,UBER EATS           HTTPS://HELP.UBER.COCA,10.81
12/26/2024,UBER EATS           HTTPS://HELP.UBER.COCA,34.85
12/26/2024,WORDPRESS 0J96NZVYJTSAN FRANCISCO       CA,40.00
12/25/2024,AplPay STARBUCKS STOLYNDHURST           NJ,8.15
12/25/2024,AplPay SUPER KING SAPALISADES PK        NJ,240.00
12/25/2024,NETFLIX.COM         866-579-7172        CA,16.86
12/24/2024,ANTHROPIC           SAN FRANCISCO       CA,10.00
12/23/2024,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,5.32
12/23/2024,NORTH AMERICAN VAN LFORT WAYNE          IN,2472.00
12/22/2024,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,10.64
12/21/2024,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,18.77
12/21/2024,AplPay MICHAELS SALULYNDHURST           NJ,15.80
12/21/2024,SQSP* INV162308266  NEW YORK            NY,20.00
12/20/2024,BA INFLIGHT SALES IAHARMONDSWORTH       GB,15.19
12/20/2024,NEWARK AP CART RENTANEWARK              NJ,6.00
12/20/2024,UBER TRIP           HTTPS://HELP.UBER.COGB,119.81
12/20/2024,X CORP. PAID FEATURESAN FRANCISCO       CA,8.71
12/18/2024,AplPay CITYSUN LIMITLONDON              GB,21.62
12/18/2024,AplPay HAROLD PINTERLONDON              GB,22.89
12/18/2024,AplPay POST OFFICE LLONDON              GB,23.61
12/18/2024,AplPay TAXIWORLD*LONGLASGOW             GB,24.04
12/18/2024,WEBFLOW.COM         SAN FRANCISCO       CA,276.00
12/17/2024,SP PURPLE           ALPINE              UT,3357.05
12/16/2024,AplPay CITYSUN LIMITLONDON              GB,8.87
12/16/2024,AplPay SUMUP*NKORA LST ALBANS,13.30
12/16/2024,AplPay Selin Food & London              GB,9.17
12/16/2024,CKO*PATREON* MEMBERSDUBLIN              CO,10.00
12/16/2024,MYFLOWERS LTD       +442045770088       CY,104.38
12/16/2024,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,21.78
12/16/2024,RENEWAL MEMBERSHIP FEE,695.00
12/16/2024,SOHO HOME LLC       NEW YORK            NY,1464.00
12/14/2024,AplPay Big Wheel CheLondon              GB,48.15
12/14/2024,AplPay CITYSUN LIMITLONDON              GB,8.87
12/14/2024,AplPay FIGS and GRAILondon              GB,63.36
12/14/2024,AplPay LEAU A LA BOULONDON              GB,4.43
12/14/2024,AplPay ZETTLE *ATHENHACKNEY             GB,8.11
12/14/2024,ETT*AMLIDOWNTOWNRENTCHICAGO             IL,1719.00
12/14/2024,SQSP* INV161384841  NEW YORK            NY,28.29
12/13/2024,AplPay CITYSUN LIMITLONDON              GB,8.94
12/13/2024,AplPay ZETTLE *ATHENHACKNEY             GB,8.17
12/12/2024,AMZNMKTPLACE*O681Z9ZAMAZON.CO.UK        GB,243.10
12/12/2024,AplPay ENGLISH NATIOLONDON              GB,77.99
12/12/2024,Audible             audible.com         NJ,14.95
12/12/2024,UBER TRIP           HTTPS://HELP.UBER.COGB,29.34
12/11/2024,AplPay CITYSUN LIMITLONDON              GB,8.94
12/11/2024,AplPay TFL TRAVEL CHTFL.GOV.UK/CP       GB,5.69
12/11/2024,AplPay The ClevelandLondon              GB,16.03
12/11/2024,The Cleveland Arms  London              GB,22.09
12/10/2024,AplPay LIFT COFFEE SLondon              GB,4.48
12/10/2024,AplPay SOLO60 LTD   NORTHWICH,15.36
12/10/2024,SP NEARLY NEW CASHMERIPON               N,75.15
12/09/2024,ETT*AMLIDOWNTOWNRENTCHICAGO             IL,400.00
12/09/2024,ETT*AMLIDOWNTOWNRENTCHICAGO             IL,1000.00
12/06/2024,AplPay SOLO60 LTD   NORTHWICH,63.87
12/06/2024,LOOM SUBSCRIPTION   SAN FRANCISCO       CA,20.00
12/05/2024,AplPay UNITED AIRLINHOUSTON             TX,56.00
12/05/2024,AplPay UNITED AIRLINHOUSTON             TX,56.00
12/05/2024,AplPay UNITED AIRLINHOUSTON             TX,56.00
12/05/2024,AplPay UNITED AIRLINHOUSTON             TX,56.00
12/05/2024,AplPay UNITED AIRLINHOUSTON             TX,1132.05
12/05/2024,AplPay UNITED AIRLINHOUSTON             TX,1132.05
12/04/2024,AplPay CITYSUN LIMITLONDON              GB,8.89
12/04/2024,AplPay ZETTLE *ATHENHACKNEY             GB,11.94
12/04/2024,MAX                 NEW YORK            NY,9.99
12/04/2024,REVIV REVIV         LONDON              GB,533.40
12/03/2024,AMAZON.COM          AMZN.COM/BILL       WA,351.81
12/03/2024,SP BURNER           BOULDER             CO,53.00
12/02/2024,AplPay CITYSUN LIMITLONDON              GB,8.91
12/02/2024,AplPay ZETTLE *ATHENHACKNEY             GB,8.15
12/02/2024,BAKER HEALTH MEDICINBROOKLYN            NY,25.00
12/02/2024,UBER TRIP           HTTPS://HELP.UBER.COGB,1.27
12/02/2024,UBER TRIP           HTTPS://HELP.UBER.COGB,32.81
12/01/2024,AplPay Rose Lilly   Maidstone           GB,9.55
12/01/2024,AplPay Rose Lilly   Maidstone           GB,25.46
12/01/2024,AplPay SUMUP*RATHBONDAGENHAM,7.64
11/30/2024,AplPay Artisan FoodsLondon              GB,16.55
11/30/2024,OPENASSISTANTGPT    SAINTE-CATHERINE-DE-,9.00
11/29/2024,AMERICAN AIRLINES 33NEW  YORK           NY,79.00
11/29/2024,AplPay LONDON TAXI DPlaistow            GB,166.44
11/29/2024,AplPay PERMISSIONLESNEW YORK            NY,112.47
11/29/2024,BA INFLIGHT SALES IAHARMONDSWORTH       GB,15.21
11/29/2024,UBER,117.05
11/28/2024,AplPay PEAKSTAR TECHLEWES               DE,12.99
11/28/2024,SQSP* INV159417730  NEW YORK            NY,7.84
11/28/2024,TRADINGVIEW 655910  WESTERVILLE         OH,216.96
11/27/2024,AplPay 17 FARMERS MAEAST RUTHERFO       NJ,1.99
11/27/2024,AplPay ARA COFFEE   RUTHERFORD          NJ,4.85
11/27/2024,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,20.13
11/27/2024,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,21.41
11/27/2024,DELTA 0000          LYNDHURST           NJ,22.81
11/26/2024,AplPay SHOPRITE LYNDLYNDHURST           NJ,12.99
11/26/2024,AplPay SHOPRITE LYNDLYNDHURST           NJ,55.91
11/26/2024,AplPay THE UPS STOREKENDALL PARK        NJ,42.00
11/26/2024,AplPay UBER EATS    help.uber.com       CA,32.66
11/26/2024,BAKER HEALTH 00-0803EDGEWATER           NJ,25.00
11/26/2024,BAKER HEALTH 00-0803EDGEWATER           NJ,120.00
11/26/2024,BAKER HEALTH 00-0803EDGEWATER           NJ,180.00
11/26/2024,ONLINE PAYMENT - THANK YOU,-4000.00
11/26/2024,SQSP* INV159100357  NEW YORK            NY,25.00
11/26/2024,WORDPRESS RPFWL108B0SAN FRANCISCO       CA,40.00
11/25/2024,AplPay DUNKIN #34813LODI                NJ,7.33
11/25/2024,AplPay NJMVC LODI   LODI                NJ,140.50
11/25/2024,AplPay SUPER KING SAPALISADES PK        NJ,57.52
11/25/2024,NETFLIX.COM         866-579-7172        CA,16.86
11/24/2024,AIRGARAGE PARKING   SAN FRANCISCO       CA,12.49
11/24/2024,AplPay POPEYES 34010EAST BRUNSWICK      NJ,15.56
11/24/2024,AplPay RD BREAKFAST PHILADELPHIA        PA,6.00
11/24/2024,STAPLES 00161       EAST RUTHERFORD     NJ,13.91
11/24/2024,STAPLES 00161       EAST RUTHERFORD     NJ,16.12
11/24/2024,TARGET PARK US INC 0HOBOKEN             NJ,20.95
11/24/2024,UBER,25.28
11/23/2024,AIRGARAGE PARKING   SAN FRANCISCO       CA,12.49
11/23/2024,AplPay MUSE COFFEE CLyndhurst           NJ,5.26
11/23/2024,AplPay PALM TREE AT PHILADELPHIA        PA,3.99
11/23/2024,LUKOIL              PHILADELPHIA        PA,25.01
11/23/2024,UBER EATS           HTTPS://HELP.UBER.COCA,24.39
11/22/2024,EQT*GUARDIAN DENTAL NEW YORK            NY,24.36
11/22/2024,SP CELLUMA          TUSTIN              CA,1664.58
11/22/2024,SUPER KING SAUNA ONLPALISADES PK        NJ,49.00
11/21/2024,BRITISH AIRWAYS DIREUSA,-2.40
11/21/2024,EQT*GUARDIAN DENTAL NEW YORK            NY,24.36
11/21/2024,SP BROC SHOT        LOS ANGELES         CA,63.55
11/21/2024,STARBUCKS STORE 6791LYNDHURST           NJ,4.15
11/20/2024,AplPay 169 LUDLOW PANEW YORK            NY,90.00
11/20/2024,AplPay BBF          New York            NY,4.18
11/20/2024,AplPay NO PULP 0000 NEW YORK            NY,17.51
11/20/2024,X CORP. PAID FEATURESAN FRANCISCO       CA,8.71
11/19/2024,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,7.61
11/19/2024,AplPay SIN CITY     North Arlington     NJ,21.90
11/19/2024,MANUAL              LONDON              GB,251.70
11/19/2024,UBER,40.67
11/18/2024,AplPay DUNKIN #34193PARSIPPANY          NJ,3.39
11/18/2024,AplPay GDP=Lake HiawLake Hiawatha       NJ,15.53
11/18/2024,NEW YORK STATE DMV NALBANY              NY,58.25
11/17/2024,AplPay ERIE COFFEESHRutherford          NJ,14.92
11/17/2024,AplPay SUPER KING SAPALISADES PK        NJ,10.66
11/17/2024,AplPay SUPER KING SAPALISADES PK        NJ,85.19
11/17/2024,BRITISH AIRWAYS DIREUSA,25.00
11/17/2024,BRITISH AIRWAYS US DUSA,50.00
11/17/2024,SUPER KING SAUNA ONLPALISADES PK        NJ,118.00
