Date,Description,Amount
02/10/2025,GETT+44(0)2080680807WWW.GETT.COM        GB,49.97
02/09/2025,AplPay City Taxi    London              GB,54.72
02/09/2025,AplPay HARRODS LIMITLONDON              GB,8.78
02/09/2025,AplPay HARRODS LIMITLONDON              GB,17.56
02/09/2025,GETT LONDON         London              GB,39.74
02/09/2025,GETT LONDON         London              GB,60.72
02/08/2025,AplPay Caffe ConcertLondon              GB,38.46
02/08/2025,AplPay ROYAL ALBERT LONDON              GB,13.62
02/08/2025,AplPay TAXIWORLD*LONGLASGOW             GB,39.35
02/08/2025,LABCORP PSCC 2      800-845-6167        NC,75.00
02/07/2025,MOBILE PAYMENT - THANK YOU,-13962.74
02/07/2025,THE RITZ LONDON     LONDON              GB,440.79
02/06/2025,AplPay Katsute 100  London              GB,4.21
02/06/2025,AplPay Katsute 100  London              GB,6.28
02/06/2025,DENTALSTUDIO22 TA ANLONDON              GB,753.18
02/06/2025,GETT+44(0)2080680807WWW.GETT.COM        GB,39.43
02/06/2025,GETT+44(0)2080680807WWW.GETT.COM        GB,42.57
02/05/2025,AplPay CMT UK LTD - LONDON              GB,32.22
02/05/2025,AplPay HAROLD PINTERLONDON              GB,37.47
02/05/2025,AplPay ZETTLE *ATHENHACKNEY             GB,11.74
02/05/2025,AplPay ZETTLE *TACO LONDON              GB,3.12
02/04/2025,AplPay ZETTLE *ATHENHACKNEY             GB,7.96
02/04/2025,GETT LONDON         London              GB,18.22
02/04/2025,MOBILE PAYMENT - THANK YOU,-2000.00
02/03/2025,AplPay SHOREDITCH FOhackney             GB,16.16
02/02/2025,AplPay PAUL TRANSMANPARIS,13.95
02/02/2025,AplPay PRIMEURS LEPIPARIS,36.21
02/02/2025,AplPay SUMUP*TAXI PABEAUVAIS,20.82
02/02/2025,AplPay TAXI G7 EMV2 CLICHY              FR,14.57
02/02/2025,"PALNU LOGISTICS, LLCTAMPA               FL",625.00
02/01/2025,AplPay LA MAISON DE PARIS               FR,230.77
02/01/2025,L'HISTORIAL DE MONTMPARIS,4892.23
01/31/2025,AplPay AU BOURGUIGNOPARIS               FR,85.35
01/30/2025,LE BASILIC          PARIS               FR,162.06
01/29/2025,AplPay SUMUP*TAXI PAPARIS,41.78
01/29/2025,AplPay ZETTLE *ATHENHACKNEY             GB,7.48
01/29/2025,GETT+44(0)2080680807WWW.GETT.COM        GB,42.36
01/28/2025,AplPay GLOBALE*/BOMBLONDON              GB,68.52
01/28/2025,AplPay WWW.FALKE.COMSCHMALLENBERG       DE,32.44
01/28/2025,AplPay ZETTLE *SILVALETCHWORTH          GB,2.78
01/28/2025,GETT LONDON         London              GB,23.68
01/27/2025,AplPay ZETTLE *ATHENHACKNEY             GB,10.49
01/26/2025,AplPay ALLSAINTS    LONDON              GB,131.13
01/26/2025,AplPay SUMUP*12 WESTLONDON,49.96
01/23/2025,AplPay ASPINAL.REGENLONDON              GB,891.29
01/23/2025,GETT LONDON         London              GB,63.61
01/22/2025,TRAVEL GUARD GROUP ISTEVENS POINT       WI,19.93
01/22/2025,TRAVEL GUARD GROUP ISTEVENS POINT       WI,44.28
01/22/2025,UNITED AIRLINES     HOUSTON             TX,8.00
01/22/2025,UNITED AIRLINES     HOUSTON             TX,114.00
01/22/2025,UNITED AIRLINES     HOUSTON             TX,210.14
01/22/2025,UNITED AIRLINES     HOUSTON             TX,328.46
01/22/2025,UNITED AIRLINES     HOUSTON             TX,328.46
01/21/2025,AplPay ZETTLE *ATHENHACKNEY             GB,15.54
01/21/2025,AplPay ZETTLE *SILVALETCHWORTH          GB,2.74
01/19/2025,AplPay BOOTS THE CHEMARLBOROUGH         GB,15.41
01/19/2025,AplPay EOAL SILBURY Swindon             GB,199.37
01/19/2025,AplPay NATIONAL TRUSMARLBOROUGH         WI,69.72
01/19/2025,AplPay THE NATIONAL MARLBOROUGH         GB,11.74
01/17/2025,AplPay ZETTLE *ATHENHACKNEY             GB,7.34
01/16/2025,AplPay ZETTLE *ATHENHACKNEY             GB,3.69
01/15/2025,AplPay Dirtybagels  London              GB,38.59
01/14/2025,AplPay SUMUP*NKORA LST ALBANS,17.05
01/13/2025,AplPay HEATHROW BLACALDERSHOT           GB,155.91
01/12/2025,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,30.07
01/11/2025,UNITED AIRLINES     HOUSTON             TX,4642.51
01/10/2025,AplPay CONTEMPORARY LYNDHURST           NJ,12.25
01/10/2025,AplPay USPS PO 33748LYNDHURST           NJ,11.49
01/10/2025,DELTA 0000          LYNDHURST           NJ,26.31
01/10/2025,UNITED AIRLINES     HOUSTON             TX,11.99
01/10/2025,UNITED AIRLINES     HOUSTON             TX,12.00
01/10/2025,UNITED AIRLINES     HOUSTON             TX,12.99
01/10/2025,UNITED AIRLINES     HOUSTON             TX,12.99
01/10/2025,UNITED AIRLINES     HOUSTON             TX,15.00
01/09/2025,SUPER KING SAUNA 00-PALISADES PK        NJ,45.80
01/09/2025,UNITED HEALTH ONE   INDIANAPOLIS        IN,133.47
01/08/2025,AplPay TST* VINNIES LYNDHURST           NJ,40.83
01/07/2025,AplPay SIN CITY     North Arlington     NJ,21.90
01/07/2025,AplPay STARBUCKS STOLYNDHURST           NJ,4.15
01/06/2025,STARBUCKS STORE 6791LYNDHURST           NJ,4.15
01/06/2025,WENDYS 6704 0670    LYNDHURST           NJ,10.60
01/05/2025,AplPay SOLO60 LTD   NORTHWICH,111.79
01/05/2025,TST* SONG E NAPULE -RUTHERFORD          NJ,305.80
01/04/2025,AplPay APPLE STORE REAST RUTHERFORD     NJ,1874.41
01/04/2025,MOBILE PAYMENT - THANK YOU,-10498.37
01/03/2025,"PALNU LOGISTICS, LLCTAMPA               FL",625.00
01/02/2025,ATX COCINA          AUSTIN              TX,190.21
01/02/2025,AplPay AUSTIN- HOUNDAustin              TX,10.50
01/02/2025,AplPay TST* DE NADA AUSTIN              TX,16.92
01/01/2025,AplPay CVS/PHARMACY AUSTIN              TX,34.90
01/01/2025,AplPay SECOND STREETAUSTIN              TX,18.03
01/01/2025,AplPay TST* VELVET TAUSTIN              TX,54.42
01/01/2025,WTF ICEHOUSE 0000   AUSTIN              TX,92.00
12/31/2024,THE RANGE AT AUSTIN AUSTIN              TX,36.61
12/30/2024,ONLINE PAYMENT - THANK YOU,-8000.00
12/29/2024,AplPay AUSTIN- HOUNDAustin              TX,9.17
12/29/2024,AplPay UNCOMMON OBJEAUSTIN              TX,156.09
12/29/2024,IKEA.COM            BALTIMORE           MD,357.18
12/28/2024,AplPay ROYAL BLUE GRAUSTIN              TX,64.86
12/28/2024,AplPay SMOKE PARADISAUSTIN              TX,21.65
12/28/2024,AplPay URBAN WINE & AUSTIN              TX,50.87
12/28/2024,TST* BILLS OYSTER 00AUSTIN              TX,108.76
12/25/2024,AplPay KIM GA MEON OPALISADES PAR       NJ,18.98
12/25/2024,SUPER KING SAUNA 00-PALISADES PK        NJ,11.68
12/24/2024,AplPay CVS PHARMACY NORTH ARLINGTON     NJ,115.63
12/24/2024,GREENHOUSE          NEW HOPE            PA,45.17
12/23/2024,AplPay STARBUCKS STOLYNDHURST           NJ,4.15
12/23/2024,SHELL SERVICE STATIOSOMERSET            NJ,17.00
12/22/2024,AplPay ERIE COFFEESHRutherford          NJ,20.47
12/20/2024,DELTA AIR LINES,2528.51
12/19/2024,AplPay CITYSUN LIMITLONDON              GB,8.91
12/19/2024,AplPay SUMUP*NKORA LST ALBANS,12.73
12/18/2024,AplPay IKEA.COM     BALTIMORE           MD,3561.21
12/18/2024,AplPay Redwood      London              GB,18.06
12/18/2024,AplPay Redwood      London              GB,18.06
12/18/2024,AplPay SUMUP*NKORA LST ALBANS,13.36
12/16/2024,AplPay 3CPAYMENT*MAMLONDON              GB,65.78
12/16/2024,AplPay AREPA & CO-HALONDON              GB,73.99
12/15/2024,AplPay Dirtybagels  London              GB,12.67
12/15/2024,AplPay SUMUP*NKORA LST ALBANS,11.40
12/15/2024,AplPay ZETTLE *SOUTHESSEX               GB,44.35
12/13/2024,AplPay THE DORCHESTELONDON              GB,418.60
12/13/2024,AplPay ZETTLE *BURROLONDON              GB,21.98
12/13/2024,MEMBERSHIP FEE,650.00
12/12/2024,AplPay Fumo Covent GLondon              GB,104.93
12/11/2024,AplPay ZETTLE *ATHENHACKNEY             GB,8.17
12/10/2024,"PALNU LOGISTICS, LLCTAMPA               FL",625.00
12/09/2024,AplPay CITYSUN LIMITLONDON              GB,8.97
12/09/2024,AplPay ROYAL COLLECTLONDON              GB,21.03
12/09/2024,AplPay ZETTLE *ATHENHACKNEY             GB,8.20
12/08/2024,AplPay BACCHANALIA  LONDON              GB,113.71
12/08/2024,AplPay CITYSUN LIMITLONDON              GB,8.97
12/08/2024,AplPay LIBERTY RETAILONDON              GB,208.68
12/08/2024,AplPay SUMUP*NKORA LST ALBANS,8.71
11/15/2024,"PALNU LOGISTICS, LLCTAMPA               FL",16250.00
11/15/2024,STARBUCKS STORE 6791LYNDHURST           NJ,4.15
11/15/2024,SUPER KING SAUNA 00-PALISADES PK        NJ,37.27
